S1,S2,S3,S4,T1,T2,T3,T4
3408,1504,1344,3108,3130,1489,1290,3104
3507,1463,1291,3121,3192,1502,1305,3125
3446,1826,1774,3266,3156,1545,1390,3113
2963,2479,2633,3268,2970,1972,1876,3144
2645,2691,2968,3039,2554,2396,2590,2930
2493,2442,2570,2693,2295,2325,2456,2681
2800,1899,1861,2793,2107,1819,1985,2263
3349,1683,1523,3096,2456,1541,1562,2667
3622,2018,1990,3470,2909,2085,2168,3245
2963,2154,2043,3088,2679,2042,2005,3254
2650,1616,1600,2916,2611,1297,1216,2973
3325,1544,1410,3184,2838,1166,1084,3001
3627,1599,1332,3144,2927,1346,1148,2949
3802,1735,1403,3023,3127,1528,1313,2818
3590,1657,1282,2901,3080,1552,1293,2802
3415,1370,1305,3176,2949,1470,1241,2682
3362,1636,1580,3774,2631,1251,1089,2802
3491,1502,1806,4059,2652,1196,1187,2867
3412,1626,1450,3756,2648,1287,1207,3112
3615,1548,1461,3928,2871,1441,1406,3370
3636,1523,1309,3737,3028,1469,1300,3408
3701,1523,1288,3683,2946,1403,1237,3309
3550,1452,1259,3693,2962,1440,1245,3318
3611,1411,1155,3659,2958,1425,1308,3243
3536,1578,1456,3519,2555,1666,1687,2923
3061,2039,2074,3234,2202,2040,2184,2728
2469,2413,2619,2622,2175,2230,2375,2572
2205,2262,2376,2435,2017,2032,2193,2433
2096,2190,2374,2426,1959,1913,2129,2354
1849,2139,2273,2512,1830,1906,2043,2372
1921,2189,2543,2894,1757,1795,1976,2356
2013,2005,2175,2759,1589,1600,1683,2271
3312,1752,1411,3166,2102,1506,1417,2336
3970,1824,1302,3601,2892,1759,1424,2995
4047,1865,1351,3759,3271,1952,1559,3289
3852,1844,1307,3566,3280,1984,1562,3326
3769,1827,1280,3561,3114,1834,1503,3148
4013,1946,1410,3605,3126,1942,1559,3155
3859,1911,1422,3637,3053,1943,1590,3158
3563,1907,1565,3413,2634,1814,1667,2879
3404,2443,2261,3421,2463,2045,1999,2670
3213,2737,2662,3228,2453,2216,2253,2596
3528,2339,2049,3296,2420,2046,1962,2741
3838,2097,1907,3533,2795,1616,1489,3108
3541,2478,2357,3653,2712,1591,1455,3483
2296,2009,1910,3004,1515,1365,1353,2809
1590,1194,1197,2615,1162,1097,1119,2365
1213,1209,1356,2443,1094,1113,1263,2164
1184,1466,1917,2632,1139,1248,1445,2030
1384,1661,2133,2745,1119,1218,1360,2144
1374,1516,1995,2474,990,1125,1152,2330
1284,1520,1851,2220,1061,1181,1218,2229
1235,1464,1805,2162,1035,1166,1299,2069
1224,1441,1757,2063,1169,1275,1445,2007
1300,1465,1957,2342,1070,1240,1389,2087
1384,1718,2258,2816,1178,1270,1471,2100
1335,1655,2083,2642,1192,1268,1479,2018
1291,1434,1789,2205,1113,1256,1373,1976
1271,1441,1742,2108,1104,1246,1367,1991
1283,1447,1779,2178,1132,1236,1431,1965
1516,1860,2096,2509,1284,1416,1583,2098
1573,1745,2359,2889,1196,1277,1494,2027
1256,1669,2141,2725,954,1093,1228,1717
1329,1606,2142,2679,901,1020,1161,1697
1248,1586,2116,2679,994,1085,1242,1780
1253,1614,2100,2653,965,1093,1224,1827
1223,1568,2111,2678,903,1042,1166,1841
1232,1623,2085,2693,897,989,1148,1716
1104,1428,1914,2692,864,969,1068,2075
1003,1350,1653,2594,789,969,816,2905
1108,1390,1783,2609,708,909,710,2924
1010,1333,1607,2626,725,864,849,2400
750,978,1144,2585,708,817,873,2064
416,632,393,2260,706,846,723,2404
606,533,338,1148,818,842,615,1499
1889,917,927,2110,1254,997,1020,1675
1617,1384,1670,2067,1441,1253,1434,1970
1694,1708,1999,2246,1321,1310,1547,1827
1155,1406,1292,2453,1099,1230,1336,1911
1001,900,1000,2374,1003,1111,1187,2156
1013,982,862,1560,970,1036,995,1427
925,882,918,1238,957,948,928,1459
732,915,796,2062,893,947,937,1635
1014,1250,1179,3094,953,1168,1024,3070
995,1420,1294,2313,1237,1593,1497,3079
1324,1641,1648,2060,1517,1808,1882,2612
1685,2086,2183,2478,1350,1591,1815,2319
1928,2269,2498,2961,1412,1679,1995,2382
2072,2680,2752,3284,1537,1767,2015,2450
2818,2837,3485,3816,1537,1742,1987,2617
1719,2197,2252,2705,1295,1573,1608,2277
760,1028,1282,2084,983,1163,1181,2159
890,924,917,2369,801,922,882,2210
1016,848,827,2188,851,851,766,2689
932,960,1067,1828,808,922,835,2823
996,1237,1573,2204,766,971,778,3363
1203,1570,2061,2719,694,952,752,3856
1230,1563,2156,2745,697,909,685,3768
1204,1576,2049,2840,713,913,716,3556
1138,1431,1819,2600,865,1089,1012,3265
1175,1400,1705,2283,956,1072,1046,3116
1281,1577,1847,2405,1128,1371,1342,2889
1363,1696,2069,2617,1054,1244,1143,2936
1499,1812,2231,2780,945,1184,1016,3184
1558,1925,2215,2797,981,1231,1134,3299
1235,1687,2025,2809,766,924,704,3578
1260,1639,2003,2825,736,926,675,3602
1639,1864,2275,2998,1029,1185,1136,2966
2369,2534,3054,3669,1409,1536,1571,2378
2029,2700,2783,3792,1245,1284,1387,2704
1350,1550,1687,3474,874,961,857,3188
671,996,1016,3270,622,854,565,3612
823,1117,1309,3193,656,942,605,3767
876,1072,1448,3081,664,882,621,3703
639,910,1057,3316,574,788,558,3656
480,734,778,3382,608,824,548,3693
442,654,709,3273,695,852,585,3774
3500,1486,1299,3083,3096,1471,1321,3082
3305,1607,1483,3102,3136,1496,1290,3128
2876,2305,2541,3168,2962,1742,1816,3104
2609,2746,2854,2939,2558,2321,2417,2964
2414,2374,2696,2835,2281,2303,2570,2722
2678,2020,1824,2684,2183,1973,1939,2309
3429,1557,1517,3162,2437,1380,1394,2491
3701,1745,1483,3350,3138,1619,1386,3080
3677,1702,1563,3462,3084,1668,1671,3293
3423,1721,1593,3239,2924,2016,2101,3163
2674,1717,1653,2668,2553,1809,1823,2902
2890,1870,1751,2698,2721,1453,1366,2799
3521,1780,1519,2963,3042,1537,1286,2818
3617,1574,1333,3001,3188,1539,1351,2769
3393,1523,1312,3138,2975,1504,1253,2738
3335,1525,1696,3820,2660,1217,1144,2784
3452,1731,1686,4003,2665,1260,1174,2889
3321,1556,1501,3834,2675,1239,1205,3096
3683,1569,1461,3865,2911,1448,1376,3311
3655,1494,1289,3775,3000,1476,1311,3431
3637,1509,1315,3769,2959,1463,1259,3357
3597,1443,1224,3751,2932,1402,1261,3327
3523,1316,1153,3620,2913,1395,1219,3370
3598,1366,1133,3667,2991,1430,1237,3338
3489,1396,1332,3662,2967,1444,1370,3323
2941,1978,1978,3255,2518,1756,1806,2946
2179,2211,2491,2489,2091,2026,2226,2445
2151,2240,2353,2391,1971,1952,2127,2284
2203,2173,2439,2408,1851,1825,2117,2228
2136,2220,2442,2455,1793,1823,2126,2337
2129,2307,2683,2807,1655,1744,1946,2401
2314,2316,2545,2985,1764,1674,1748,2446
