S1,S2,S3,S4,T1,T2,T3,T4
3412,1626,1450,3756,2648,1287,1207,3112
3615,1548,1461,3928,2871,1441,1406,3370
3636,1523,1309,3737,3028,1469,1300,3408
3701,1523,1288,3683,2946,1403,1237,3309
3550,1452,1259,3693,2962,1440,1245,3318
3611,1411,1155,3659,2958,1425,1308,3243
3970,1824,1302,3601,2892,1759,1424,2995
4047,1865,1351,3759,3271,1952,1559,3289
3852,1844,1307,3566,3280,1984,1562,3326
3769,1827,1280,3561,3114,1834,1503,3148
4013,1946,1410,3605,3126,1942,1559,3155
3859,1911,1422,3637,3053,1943,1590,3158
3563,1907,1565,3413,2634,1814,1667,2879
3404,2443,2261,3421,2463,2045,1999,2670
3429,1557,1517,3162,2437,1380,1394,2491
3701,1745,1483,3350,3138,1619,1386,3080
3677,1702,1563,3462,3084,1668,1671,3293
3423,1721,1593,3239,2924,2016,2101,3163
3393,1523,1312,3138,2975,1504,1253,2738
3335,1525,1696,3820,2660,1217,1144,2784
3452,1731,1686,4003,2665,1260,1174,2889
3321,1556,1501,3834,2675,1239,1205,3096
3683,1569,1461,3865,2911,1448,1376,3311
3655,1494,1289,3775,3000,1476,1311,3431
3637,1509,1315,3769,2959,1463,1259,3357
3597,1443,1224,3751,2932,1402,1261,3327
3523,1316,1153,3620,2913,1395,1219,3370
3598,1366,1133,3667,2991,1430,1237,3338
3930,1861,1464,3772,3379,1945,1514,3404
4051,1865,1248,3745,3288,1895,1478,3427
4050,1870,1255,3691,3238,1905,1507,3213
4043,1926,1357,3776,3169,1941,1537,3166
3919,1915,1394,3685,3258,2043,1630,3309
3640,1755,1309,3516,3107,1893,1516,3223
3688,1816,1326,3487,2932,1720,1433,3008
3617,1993,1577,3552,2638,1883,1676,2925
3458,2073,1835,3241,2432,1932,1892,2694
3883,2015,1629,3519,2789,1809,1673,3033
3852,1868,1548,3500,3056,1692,1487,3305
3793,1976,1671,3475,2892,1822,1778,3286
3560,1667,1466,3318,3049,1480,1333,3070
3796,1736,1549,3495,3298,1618,1490,3187
3661,1714,1453,3349,3142,1642,1405,3272
3635,1576,1337,3419,3101,1625,1493,3198
3654,1632,1809,4184,2801,1259,1142,2790
3425,1844,1738,4050,2657,1248,1091,2941
3505,1510,1652,3922,2711,1275,1279,3101
3646,1631,1412,3881,2907,1448,1371,3433
3572,1476,1292,3797,3027,1430,1302,3399
3689,1547,1386,3870,3052,1442,1242,3357
3658,1468,1310,3770,3031,1454,1251,3319
3488,1323,1156,3658,2988,1349,1228,3345
4103,1863,1301,3912,3420,1991,1577,3380
4138,1939,1343,3907,3408,2060,1647,3452
3823,1783,1272,3611,3165,1928,1514,3316
3650,1690,1241,3543,2964,1737,1366,3092
3781,1831,1356,3772,3059,1741,1415,3214
